Authors,Article Title,DOI,taxon,bio_facet,archipelago,pattern,resolution,notes
"Otto, R; Fernández-Lugo, S; Blandino, C; Manganelli, G; Chiarucci, A; Fernández-Palacios, JM","Biotic homogenization of oceanic islands depends on taxon, spatial scale and the quantification approach",10.1111/ecog.04454,Mammals,taxonomic,Cape_Verde,homogenization,Within archipelago,"Results provided by Rudi Otto - pairwise analysis, used >70% of pairwise comparison to = homogenisation or differentiation "
"Otto, R; Fernández-Lugo, S; Blandino, C; Manganelli, G; Chiarucci, A; Fernández-Palacios, JM","Biotic homogenization of oceanic islands depends on taxon, spatial scale and the quantification approach",10.1111/ecog.04454,Mammals,taxonomic,Madeira,mixed,Within archipelago,"Results provided by Rudi Otto - pairwise analysis, used >70% of pairwise comparison to = homogenisation or differentiation "
"Otto, R; Fernández-Lugo, S; Blandino, C; Manganelli, G; Chiarucci, A; Fernández-Palacios, JM","Biotic homogenization of oceanic islands depends on taxon, spatial scale and the quantification approach",10.1111/ecog.04454,Plants,taxonomic,Azores,differentation,Within archipelago,"pteridophytes - Results provided by Rudi Otto - pairwise analysis, used >70% of pairwise comparison to = homogenisation or differentiation "
"Otto, R; Fernández-Lugo, S; Blandino, C; Manganelli, G; Chiarucci, A; Fernández-Palacios, JM","Biotic homogenization of oceanic islands depends on taxon, spatial scale and the quantification approach",10.1111/ecog.04454,Plants,taxonomic,Canary_Islands,differentation,Within archipelago,"pteridophytes - Results provided by Rudi Otto - pairwise analysis, used >70% of pairwise comparison to = homogenisation or differentiation "
"Otto, R; Fernández-Lugo, S; Blandino, C; Manganelli, G; Chiarucci, A; Fernández-Palacios, JM","Biotic homogenization of oceanic islands depends on taxon, spatial scale and the quantification approach",10.1111/ecog.04454,Plants,taxonomic,Azores,differentation,Within archipelago,"spermatophytes - Results provided by Rudi Otto - pairwise analysis, used >70% of pairwise comparison to = homogenisation or differentiation "
"Otto, R; Fernández-Lugo, S; Blandino, C; Manganelli, G; Chiarucci, A; Fernández-Palacios, JM","Biotic homogenization of oceanic islands depends on taxon, spatial scale and the quantification approach",10.1111/ecog.04454,Plants,taxonomic,Canary_Islands,differentation,Within archipelago,"spermatophytes - Results provided by Rudi Otto - pairwise analysis, used >70% of pairwise comparison to = homogenisation or differentiation "
"Otto, R; Fernández-Lugo, S; Blandino, C; Manganelli, G; Chiarucci, A; Fernández-Palacios, JM","Biotic homogenization of oceanic islands depends on taxon, spatial scale and the quantification approach",10.1111/ecog.04454,Plants,taxonomic,Cape_Verde,differentation,Within archipelago,"spermatophytes - Results provided by Rudi Otto - pairwise analysis, used >70% of pairwise comparison to = homogenisation or differentiation "
"Otto, R; Fernández-Lugo, S; Blandino, C; Manganelli, G; Chiarucci, A; Fernández-Palacios, JM","Biotic homogenization of oceanic islands depends on taxon, spatial scale and the quantification approach",10.1111/ecog.04454,Plants,taxonomic,Madeira,differentation,Within archipelago,"spermatophytes - Results provided by Rudi Otto - pairwise analysis, used >70% of pairwise comparison to = homogenisation or differentiation "
"Otto, R; Fernández-Lugo, S; Blandino, C; Manganelli, G; Chiarucci, A; Fernández-Palacios, JM","Biotic homogenization of oceanic islands depends on taxon, spatial scale and the quantification approach",10.1111/ecog.04454,Plants,taxonomic,Madeira,mixed,Within archipelago,"pteridophytes - Results provided by Rudi Otto - pairwise analysis, used >70% of pairwise comparison to = homogenisation or differentiation "
"Otto, R; Fernández-Lugo, S; Blandino, C; Manganelli, G; Chiarucci, A; Fernández-Palacios, JM","Biotic homogenization of oceanic islands depends on taxon, spatial scale and the quantification approach",10.1111/ecog.04454,Plants,taxonomic,Cape_Verde,no_difference,Within archipelago,"pteridophytes - Results provided by Rudi Otto - pairwise analysis, used >70% of pairwise comparison to = homogenisation or differentiation "
"Otto, R; Fernández-Lugo, S; Blandino, C; Manganelli, G; Chiarucci, A; Fernández-Palacios, JM","Biotic homogenization of oceanic islands depends on taxon, spatial scale and the quantification approach",10.1111/ecog.04454,Reptiles,taxonomic,Madeira,differentation,Within archipelago,"Results provided by Rudi Otto - pairwise analysis, used >70% of pairwise comparison to = homogenisation or differentiation "
"Otto, R; Fernández-Lugo, S; Blandino, C; Manganelli, G; Chiarucci, A; Fernández-Palacios, JM","Biotic homogenization of oceanic islands depends on taxon, spatial scale and the quantification approach",10.1111/ecog.04454,Reptiles,taxonomic,Cape_Verde,mixed,Within archipelago,"Results provided by Rudi Otto - pairwise analysis, used >70% of pairwise comparison to = homogenisation or differentiation "
"Otto, R; Fernández-Lugo, S; Blandino, C; Manganelli, G; Chiarucci, A; Fernández-Palacios, JM","Biotic homogenization of oceanic islands depends on taxon, spatial scale and the quantification approach",10.1111/ecog.04454,Reptiles,taxonomic,Canary_Islands,no_difference,Within archipelago,"Results provided by Rudi Otto - pairwise analysis, used >70% of pairwise comparison to = homogenisation or differentiation "
"Shaw, JD; Spear, D; Greve, M; Chown, SL",Taxonomic homogenization and differentiation across Southern Ocean Islands differ among insects and vascular plants,10.1111/j.1365-2699.2009.02204.x,Invertebrates,taxonomic,South Indian Province,differentation,Within archipelago,Looks at effect of non-native species on Jaccard similarity; not traditional archipelagos but groups of islands in biogeographical regions within the Southern Ocean; results taken from Figure 1c (only species-level results used)
"Shaw, JD; Spear, D; Greve, M; Chown, SL",Taxonomic homogenization and differentiation across Southern Ocean Islands differ among insects and vascular plants,10.1111/j.1365-2699.2009.02204.x,Invertebrates,taxonomic,Amsterdam Group,differentation,Within archipelago,Looks at effect of non-native species on Jaccard similarity; not traditional archipelagos but groups of islands in biogeographical regions within the Southern Ocean; results taken from Figure 1c (only species-level results used)
"Shaw, JD; Spear, D; Greve, M; Chown, SL",Taxonomic homogenization and differentiation across Southern Ocean Islands differ among insects and vascular plants,10.1111/j.1365-2699.2009.02204.x,Invertebrates,taxonomic,Tristan Group,differentation,Within archipelago,Looks at effect of non-native species on Jaccard similarity; not traditional archipelagos but groups of islands in biogeographical regions within the Southern Ocean; results taken from Figure 1c (only species-level results used)
"Shaw, JD; Spear, D; Greve, M; Chown, SL",Taxonomic homogenization and differentiation across Southern Ocean Islands differ among insects and vascular plants,10.1111/j.1365-2699.2009.02204.x,Invertebrates,taxonomic,South Pacific Province,homogenization,Within archipelago,Looks at effect of non-native species on Jaccard similarity; not traditional archipelagos but groups of islands in biogeographical regions within the Southern Ocean; results taken from Figure 1c (only species-level results used)
"Shaw, JD; Spear, D; Greve, M; Chown, SL",Taxonomic homogenization and differentiation across Southern Ocean Islands differ among insects and vascular plants,10.1111/j.1365-2699.2009.02204.x,Invertebrates,taxonomic,South Atlantic Province,homogenization,Within archipelago,Looks at effect of non-native species on Jaccard similarity; not traditional archipelagos but groups of islands in biogeographical regions within the Southern Ocean; results taken from Figure 1c (only species-level results used)
"Shaw, JD; Spear, D; Greve, M; Chown, SL",Taxonomic homogenization and differentiation across Southern Ocean Islands differ among insects and vascular plants,10.1111/j.1365-2699.2009.02204.x,Plants,taxonomic,South Pacific Province,differentation,Within archipelago,Looks at effect of non-native species on Jaccard similarity; not traditional archipelagos but groups of islands in biogeographical regions within the Southern Ocean; results taken from Figure 1c (only species-level results used)
"Shaw, JD; Spear, D; Greve, M; Chown, SL",Taxonomic homogenization and differentiation across Southern Ocean Islands differ among insects and vascular plants,10.1111/j.1365-2699.2009.02204.x,Plants,taxonomic,South Indian Province,differentation,Within archipelago,Looks at effect of non-native species on Jaccard similarity; not traditional archipelagos but groups of islands in biogeographical regions within the Southern Ocean; results taken from Figure 1c (only species-level results used)
"Shaw, JD; Spear, D; Greve, M; Chown, SL",Taxonomic homogenization and differentiation across Southern Ocean Islands differ among insects and vascular plants,10.1111/j.1365-2699.2009.02204.x,Plants,taxonomic,Amsterdam Group,differentation,Within archipelago,Looks at effect of non-native species on Jaccard similarity; not traditional archipelagos but groups of islands in biogeographical regions within the Southern Ocean; results taken from Figure 1c (only species-level results used)
"Shaw, JD; Spear, D; Greve, M; Chown, SL",Taxonomic homogenization and differentiation across Southern Ocean Islands differ among insects and vascular plants,10.1111/j.1365-2699.2009.02204.x,Plants,taxonomic,Tristan Group,differentation,Within archipelago,Looks at effect of non-native species on Jaccard similarity; not traditional archipelagos but groups of islands in biogeographical regions within the Southern Ocean; results taken from Figure 1c (only species-level results used)
"Shaw, JD; Spear, D; Greve, M; Chown, SL",Taxonomic homogenization and differentiation across Southern Ocean Islands differ among insects and vascular plants,10.1111/j.1365-2699.2009.02204.x,Plants,taxonomic,South Atlantic Province,homogenization,Within archipelago,Looks at effect of non-native species on Jaccard similarity; not traditional archipelagos but groups of islands in biogeographical regions within the Southern Ocean; results taken from Figure 1c (only species-level results used)
"Castro, SA; Muñoz, M; Jaksic, FM",Transit towards floristic homogenization on oceanic islands in the south-eastern Pacific:: comparing pre-European and current floras,10.1111/j.1365-2699.2006.01605.x,Plants,taxonomic,Desventuradas_Islands,differentation,Within archipelago,Results from Table 3 (Jaccard similarity coefficient): single pairwise comparison shows differentiation
"Castro, SA; Muñoz, M; Jaksic, FM",Transit towards floristic homogenization on oceanic islands in the south-eastern Pacific:: comparing pre-European and current floras,10.1111/j.1365-2699.2006.01605.x,Plants,taxonomic,Juan_Fernandez,homogenization,Within archipelago,Results from Table 3 (Jaccard similarity coefficient): all 3 pairwise comparisons homogenising
"Castro, SA; Muñoz, M; Jaksic, FM",Transit towards floristic homogenization on oceanic islands in the south-eastern Pacific:: comparing pre-European and current floras,10.1111/j.1365-2699.2006.01605.x,Plants,taxonomic,Easter_Island,homogenization,Between archipelagos,"Results from Table 3 (Jaccard similarity coefficient): in all pairwise comparisons of Easter Island and the other islands, all but one homogenising, so homogenisation taken as result"
"Strandberg, NA; Steinbauer, MJ; Walentowitz, A; Gosling, WD; Fall, PL; Prebble, M; Stevenson, J; Wilmshurst, JM; Sear, DA; Langdon, PG; Edwards, ME; Nogué, S",Floristic homogenization of South Pacific islands commenced with human arrival,10.1038/s41559-023-02306-3,Plants,taxonomic,South Pacific Islands,homogenization,Within archipelago,"Looks at floristic similarity from pollen cores across South Pacific islands. Results taken from Figure 2 and text, and then confirmed using the individual site pairwise data results provided by Nichola and Sandra (71% of the 105 pairwise comparisons homogenised, which is > the 70% threshold we used)"
"Masseti, M",Mammals of the Mediterranean islands: homogenisation and the loss of biodiversity,10.1515/MAMM.2009.029,Mammals,taxonomic,Mediterranean_Sea,homogenization,Between archipelagos,"Results taken from the text where it describes how humans erased distinct endemic faunas and replaced them with a broadly uniform suite of introduced, generalist mammals, especially rodents and pastoral species. Discusses the processes for all islands in the region rather than within specific archipelagos "
"Castro, SA; Jaksic, FM",Role of non-established plants in determining biotic homogenization patterns in Pacific Oceanic Islands,10.1007/s10530-007-9204-z,Plants,taxonomic,Desventuradas_Islands,differentation,Within archipelago,"Similar to Castro et al (2007), but is looking at slightly different data (here including non-established aliens) so we have kept in; results are in Table 2 (Jaccard similarity, and we compared PEF with NEF, as the latter is including the new addition of non-established aliens); the one pairwise comparison is differentiating "
"Castro, SA; Jaksic, FM",Role of non-established plants in determining biotic homogenization patterns in Pacific Oceanic Islands,10.1007/s10530-007-9204-z,Plants,taxonomic,Juan_Fernandez,homogenization,Within archipelago,"Similar to Castro et al (2007), but is looking at slightly different data (here including non-established aliens) so we have kept in; results are in Table 2 (Jaccard similarity, and we compared PEF with NEF, as the latter is including the new addition of non-established aliens): all three pairwise comparisons showing homogenisation"
"Castro, SA; Jaksic, FM",Role of non-established plants in determining biotic homogenization patterns in Pacific Oceanic Islands,10.1007/s10530-007-9204-z,Plants,taxonomic,Easter_Island,homogenization,Between archipelagos,"Similar to Castro et al (2007), but is looking at slightly different data (here including non-established aliens) so we have kept in; results are in Table 2 (Jaccard similarity, and we compared PEF with NEF, as the latter is including the new addition of non-established aliens): in all pairwise comparisons of Easter Island and the other islands, all but one homogenising, so homogenisation taken as result"
"Soares, FC; Palmeirim, JM; Rodrigues, ASL; Cardoso, P; de Lima, RF",Bird extinctions and introductions are causing taxonomic and functional homogenization in oceanic islands,10.1111/1365-2435.14196,Birds,taxonomic,Canary_Islands,differentation,Within archipelago,
"Soares, FC; Palmeirim, JM; Rodrigues, ASL; Cardoso, P; de Lima, RF",Bird extinctions and introductions are causing taxonomic and functional homogenization in oceanic islands,10.1111/1365-2435.14196,Birds,taxonomic,Galapagos,differentation,Within archipelago,
"Soares, FC; Palmeirim, JM; Rodrigues, ASL; Cardoso, P; de Lima, RF",Bird extinctions and introductions are causing taxonomic and functional homogenization in oceanic islands,10.1111/1365-2435.14196,Birds,functional,Galapagos,differentation,Within archipelago,"Used 70% of island cut-off, with All but one island differnetiated, so this taken to be overall result"
"Soares, FC; Palmeirim, JM; Rodrigues, ASL; Cardoso, P; de Lima, RF",Bird extinctions and introductions are causing taxonomic and functional homogenization in oceanic islands,10.1111/1365-2435.14196,Birds,functional,Mascarenes,differentation,Within archipelago,
"Soares, FC; Palmeirim, JM; Rodrigues, ASL; Cardoso, P; de Lima, RF",Bird extinctions and introductions are causing taxonomic and functional homogenization in oceanic islands,10.1111/1365-2435.14196,Birds,taxonomic,Sao_Tome_and_Principe,differentation,Within archipelago,
"Soares, FC; Palmeirim, JM; Rodrigues, ASL; Cardoso, P; de Lima, RF",Bird extinctions and introductions are causing taxonomic and functional homogenization in oceanic islands,10.1111/1365-2435.14196,Birds,functional,Sao_Tome_and_Principe,differentation,Within archipelago,
"Soares, FC; Palmeirim, JM; Rodrigues, ASL; Cardoso, P; de Lima, RF",Bird extinctions and introductions are causing taxonomic and functional homogenization in oceanic islands,10.1111/1365-2435.14196,Birds,functional,Azores,homogenization,Within archipelago,
"Soares, FC; Palmeirim, JM; Rodrigues, ASL; Cardoso, P; de Lima, RF",Bird extinctions and introductions are causing taxonomic and functional homogenization in oceanic islands,10.1111/1365-2435.14196,Birds,functional,Canary_Islands,homogenization,Within archipelago,"Used 70% of island cut-off, with 5/7 islands homogenising, so this taken to be overall result"
"Soares, FC; Palmeirim, JM; Rodrigues, ASL; Cardoso, P; de Lima, RF",Bird extinctions and introductions are causing taxonomic and functional homogenization in oceanic islands,10.1111/1365-2435.14196,Birds,taxonomic,Cape_Verde,homogenization,Within archipelago,
"Soares, FC; Palmeirim, JM; Rodrigues, ASL; Cardoso, P; de Lima, RF",Bird extinctions and introductions are causing taxonomic and functional homogenization in oceanic islands,10.1111/1365-2435.14196,Birds,functional,Cape_Verde,homogenization,Within archipelago,"Used 70% of island cut-off, with All but one island homogenised, so this taken to be overall result"
"Soares, FC; Palmeirim, JM; Rodrigues, ASL; Cardoso, P; de Lima, RF",Bird extinctions and introductions are causing taxonomic and functional homogenization in oceanic islands,10.1111/1365-2435.14196,Birds,taxonomic,Hawaiian_Islands,homogenization,Within archipelago,
"Soares, FC; Palmeirim, JM; Rodrigues, ASL; Cardoso, P; de Lima, RF",Bird extinctions and introductions are causing taxonomic and functional homogenization in oceanic islands,10.1111/1365-2435.14196,Birds,functional,Hawaiian_Islands,homogenization,Within archipelago,
"Soares, FC; Palmeirim, JM; Rodrigues, ASL; Cardoso, P; de Lima, RF",Bird extinctions and introductions are causing taxonomic and functional homogenization in oceanic islands,10.1111/1365-2435.14196,Birds,taxonomic,Marquesas,homogenization,Within archipelago,
"Soares, FC; Palmeirim, JM; Rodrigues, ASL; Cardoso, P; de Lima, RF",Bird extinctions and introductions are causing taxonomic and functional homogenization in oceanic islands,10.1111/1365-2435.14196,Birds,functional,Marquesas,homogenization,Within archipelago,
"Soares, FC; Palmeirim, JM; Rodrigues, ASL; Cardoso, P; de Lima, RF",Bird extinctions and introductions are causing taxonomic and functional homogenization in oceanic islands,10.1111/1365-2435.14196,Birds,taxonomic,Mascarenes,homogenization,Within archipelago,
"Soares, FC; Palmeirim, JM; Rodrigues, ASL; Cardoso, P; de Lima, RF",Bird extinctions and introductions are causing taxonomic and functional homogenization in oceanic islands,10.1111/1365-2435.14196,Birds,taxonomic,West_Indies,homogenization,Within archipelago,"Used 70% of island cut-off, with 12/13 of the islands homogenising, with only two becoming more different, so we took overall result as homogenisaiton"
"Soares, FC; Palmeirim, JM; Rodrigues, ASL; Cardoso, P; de Lima, RF",Bird extinctions and introductions are causing taxonomic and functional homogenization in oceanic islands,10.1111/1365-2435.14196,Birds,taxonomic,Mozambique Channel Islands,homogenization,Within archipelago,
"Soares, FC; Palmeirim, JM; Rodrigues, ASL; Cardoso, P; de Lima, RF",Bird extinctions and introductions are causing taxonomic and functional homogenization in oceanic islands,10.1111/1365-2435.14196,Birds,functional,West_Indies,homogenization,Within archipelago,"Used 70% of island cut-off, with 12/13 of the islands homogenising, with only two becoming more different, so we took overall result as homogenisaiton"
"Soares, FC; Palmeirim, JM; Rodrigues, ASL; Cardoso, P; de Lima, RF",Bird extinctions and introductions are causing taxonomic and functional homogenization in oceanic islands,10.1111/1365-2435.14196,Birds,functional,Mozambique Channel Islands,homogenization,Within archipelago,
"Soares, FC; Palmeirim, JM; Rodrigues, ASL; Cardoso, P; de Lima, RF",Bird extinctions and introductions are causing taxonomic and functional homogenization in oceanic islands,10.1111/1365-2435.14196,Birds,taxonomic,Azores,mixed,Within archipelago,Fewer than 70% of islands in one category so result taken as mixed
"Soares, FC; Palmeirim, JM; Rodrigues, ASL; Cardoso, P; de Lima, RF",Bird extinctions and introductions are causing taxonomic and functional homogenization in oceanic islands,10.1111/1365-2435.14196,Birds,taxonomic,Marianas,mixed,Within archipelago,Fewer than 70% of islands in one category so result taken as mixed
"Soares, FC; Palmeirim, JM; Rodrigues, ASL; Cardoso, P; de Lima, RF",Bird extinctions and introductions are causing taxonomic and functional homogenization in oceanic islands,10.1111/1365-2435.14196,Birds,functional,Marianas,mixed,Within archipelago,Fewer than 70% of islands in one category so result taken as mixed
"Mitchell, SL; Edwards, DP; Martin, RW; Deere, NJ; Voigt, M; Kastanya, A; Karja, A; Akbar, PG; Jordan, K; Tasirin, J; Zakaria, Z; Martin, T; Supriatna, J; Winarni, N; Davies, ZG; Struebig, MJ",Severity of deforestation mediates biotic homogenisation in an island archipelago,10.1111/ecog.05990,Birds,taxonomic,Southeast Asian Islands,homogenization,Between archipelagos,"Not a true inter-island comparison using full island-level species lists nor a temporal analysis, but instead compares between islands along a forest cover gradient in a sort of space-for-time substitution approach. We have extrapoloated the results to infer biotic homogenisation at the island level on basis of Figure 5 and statements in the text, e.g., ""highlight how continued conversion of forests is causing the replacement of endemic species by a small cohort of ubiquitous species shared across all islands"" on the basis that these ubiquitous species across all islands will have reduced inter-island beta-diversity. "
"Kennedy, S; Calaor, J; Zurápiti, Y; Hans, J; Yoshimura, M; Choo, J; Andersen, JC; Callaghan, J; Roderick, GK; Krehenwinkel, H; Rogers, H; Gillespie, RG; Economo, EP",Richness and resilience in the Pacific: DNA metabarcoding enables parallelized evaluation of biogeographic patterns,10.1111/mec.16575,Invertebrates,taxonomic,Pacific_Islands,differentation,Between archipelagos,"Main analyses are of beta-div within islands, so ignored here, but they also compare across their three islands / archipelagos (Okinawa, Marianas, Hawaii), are looking at the effect of introduced species and results in Section 4.3 indicate the introduced species are different on each island, leading to differentiation. Uses OTUs and not a phylogeny to calculate beta-div, so arguably closer to taxonomic rather than phylogenetic beta-diversity"
"Rosenblad, KC; Sax, DF",A new framework for investigating biotic homogenization and exploring future trajectories: oceanic island plant and bird assemblages as a case study,10.1111/ecog.02652,Birds,taxonomic,Global,homogenization,Global,"Pairwise analysis of Jaccard's similarity of 20 islands: 154 out 190 pairwise comparisons homogenised, so result taken as homogenisation"
"Rosenblad, KC; Sax, DF",A new framework for investigating biotic homogenization and exploring future trajectories: oceanic island plant and bird assemblages as a case study,10.1111/ecog.02652,Plants,taxonomic,Global,homogenization,Global,Pairwise analysis of Jaccard's similarity of 11 islands: all pairwise comparisons homogenised
"Taylor, EB",An analysis of homogenization and differentiation of Canadian freshwater fish faunas with an emphasis on British Columbia,10.1139/F03-141,Fish,taxonomic,West Canadian islands,differentation,Between archipelagos,"Looks at fish (effects of extirpations and nonnative species) and composition changes in Canadian ecoregions. Only included the island pairwise comparison, which compares Queen Charlotte islands as an archipelago with the large Vancouver island; results taken from Table 2"
"Holmes, R; Pelser, P; Barcelona, J; Tjitrosoedirdjo, SS; Wahyuni, I; van Kleunen, M; Pysek, P; Essl, F; Kreft, H; Dawson, W; Wijedasa, L; Kortz, A; Hejda, M; Berrio, JC; Siregar, I; Williams, M",Naturalizations have led to homogenization of the Malesian flora in the Anthropocene,10.1111/jbi.14766,Plants,taxonomic,Greater_Sunda_Islands,homogenization,Between archipelagos,"Pairwise analysis of similarity between island groups (i.e., groups unit of analysis); Results in Section 3.2"
"Holmes, R; Pelser, P; Barcelona, J; Tjitrosoedirdjo, SS; Wahyuni, I; van Kleunen, M; Pysek, P; Essl, F; Kreft, H; Dawson, W; Wijedasa, L; Kortz, A; Hejda, M; Berrio, JC; Siregar, I; Williams, M",Naturalizations have led to homogenization of the Malesian flora in the Anthropocene,10.1111/jbi.14766,Plants,taxonomic,Lesser_Sunda_Islands,homogenization,Between archipelagos,"Pairwise analysis of similarity between island groups (i.e., groups unit of analysis); Results in Section 3.2"
"Holmes, R; Pelser, P; Barcelona, J; Tjitrosoedirdjo, SS; Wahyuni, I; van Kleunen, M; Pysek, P; Essl, F; Kreft, H; Dawson, W; Wijedasa, L; Kortz, A; Hejda, M; Berrio, JC; Siregar, I; Williams, M",Naturalizations have led to homogenization of the Malesian flora in the Anthropocene,10.1111/jbi.14766,Plants,taxonomic,Maluku,homogenization,Between archipelagos,"Pairwise analysis of similarity between island groups (i.e., groups unit of analysis); Results in Section 3.2"
"Holmes, R; Pelser, P; Barcelona, J; Tjitrosoedirdjo, SS; Wahyuni, I; van Kleunen, M; Pysek, P; Essl, F; Kreft, H; Dawson, W; Wijedasa, L; Kortz, A; Hejda, M; Berrio, JC; Siregar, I; Williams, M",Naturalizations have led to homogenization of the Malesian flora in the Anthropocene,10.1111/jbi.14766,Plants,taxonomic,New_Guinea,homogenization,Between archipelagos,"Pairwise analysis of similarity between island groups (i.e., groups unit of analysis); Results in Section 3.2"
"Holmes, R; Pelser, P; Barcelona, J; Tjitrosoedirdjo, SS; Wahyuni, I; van Kleunen, M; Pysek, P; Essl, F; Kreft, H; Dawson, W; Wijedasa, L; Kortz, A; Hejda, M; Berrio, JC; Siregar, I; Williams, M",Naturalizations have led to homogenization of the Malesian flora in the Anthropocene,10.1111/jbi.14766,Plants,taxonomic,Philippines,homogenization,Between archipelagos,"Pairwise analysis of similarity between island groups (i.e., groups unit of analysis); Results in Section 3.2"
"Lomolino, MV; van der Geer, AAE",The paradox of anthropogenic enrichment: homogenization and downsizing of insular mammals,10.21425/F5FBG59967,Mammals,taxonomic,Caribbean_Islands,homogenization,Within archipelago,Results checked with Mark Lomolino and Alexandra van der Geer
"Lomolino, MV; van der Geer, AAE",The paradox of anthropogenic enrichment: homogenization and downsizing of insular mammals,10.21425/F5FBG59967,Mammals,taxonomic,Wallacea_Islands,homogenization,Within archipelago,Results checked with Mark Lomolino and Alexandra van der Geer
"Lomolino, MV; van der Geer, AAE",The paradox of anthropogenic enrichment: homogenization and downsizing of insular mammals,10.21425/F5FBG59967,Mammals,taxonomic,Mediterranean_Islands,homogenization,Within archipelago,Results checked with Mark Lomolino and Alexandra van der Geer
"Lomolino, MV; van der Geer, AAE",The paradox of anthropogenic enrichment: homogenization and downsizing of insular mammals,10.21425/F5FBG59967,Mammals,taxonomic,Macronesian_Islands,homogenization,Within archipelago,Results checked with Mark Lomolino and Alexandra van der Geer
"Lomolino, MV; van der Geer, AAE",The paradox of anthropogenic enrichment: homogenization and downsizing of insular mammals,10.21425/F5FBG59967,Mammals,taxonomic,Pacific_Islands,homogenization,Between archipelagos,Results checked with Mark Lomolino and Alexandra van der Geer
